"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-12-17",1908,"FIFA World Cup","Croatia","Morocco",77.65,73.92,0.5325,0.4675,0,0.97,0.88,2,1,0.76,0.96,1.52,0.73,2.1,1.05
"2","2022-12-05",1908,"FIFA World Cup","Brazil","South Korea",92.9,69.4,0.8261,0.1739,0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,1.05
"3","2022-12-03",1908,"FIFA World Cup","Netherlands","USA",83.97,73.07,0.6551,0.3449,0,1.42,0.88,3,1,1.16,1.43,1.4,1.08,2.87,1.05
"4","2022-11-23",1908,"FIFA World Cup","Spain","Costa Rica",89.51,55.46,0.7623,0.0595,0.1781,2.19,0.44,7,0,2.39,0,1.71,0.15,6.22,0
"5","2022-11-25",1908,"FIFA World Cup","Qatar","Senegal",48.16,73.23,0.2098,0.5228,0.2674,0.96,1.66,1,3,0.94,0.75,1.06,1.28,1.05,2.81
"6","2022-11-22",1908,"FIFA World Cup","Mexico","Poland",74.3,68.28,0.4238,0.2802,0.296,1.37,1.06,0,0,0.45,1.02,1.19,0.49,0,0
"7","2022-12-04",1908,"FIFA World Cup","France","Poland",88.57,65.77,0.8133,0.1867,0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,1.05
"8","2022-11-22",1908,"FIFA World Cup","Argentina","Saudi Arabia",87.21,56.87,0.7228,0.0807,0.1966,2.11,0.54,1,2,1.63,0.15,2.4,0.53,1.05,2.1
"9","2022-12-01",1908,"FIFA World Cup","Japan","Spain",70.43,90.62,0.1391,0.6135,0.2474,0.71,1.79,2,1,0.53,0.79,0.81,1.1,2.1,1.05
"10","2022-12-02",1908,"FIFA World Cup","Ghana","Uruguay",60.5,79.28,0.1564,0.5669,0.2766,0.68,1.57,0,2,1.35,1.12,0.73,1.44,0,2.1
"11","2022-11-30",1908,"FIFA World Cup","Tunisia","France",65.92,90.15,0.1116,0.651,0.2374,0.6,1.82,1,0,0.29,0.43,0.61,1.21,1.05,0
"12","2022-11-28",1908,"FIFA World Cup","South Korea","Ghana",66.44,60.03,0.443,0.2348,0.3222,1.23,0.81,2,3,1.56,0.51,2.31,0.73,2.1,3.15
"13","2022-11-24",1908,"FIFA World Cup","Portugal","Ghana",87.77,58.63,0.6974,0.0912,0.2114,2,0.56,3,2,1.89,0.52,1.63,0.27,2.9,2.1
"14","2022-12-13",1908,"FIFA World Cup","Argentina","Croatia",87.46,79.37,0.6426,0.3574,0,1.33,0.84,3,0,1.69,0.53,1.3,1.16,3.15,0
"15","2022-12-06",1908,"FIFA World Cup","Portugal","Switzerland",85.8,78.51,0.6158,0.3842,0,1.51,1.08,6,1,1.34,0.98,1.42,0.7,5.78,1.05
